Length	Lowest Frequency	Highest Frequency	Average Frequency	Frequency Band	Impulse Count	Average Impulse Length	Average Impulse Frequency Band	Common Impulse Direction
0.8	5097.74	5097.74	5097.74	0.0	1.0	0.8	0.0	0
0.9	4815.79	5030.07	4917.83	214.28	7.0	0.21428571428571427	0.0	0
1.1	4402.26	5101.5	4761.59	699.24	6.0	0.2500000000000001	-1.88	0
2.0	6424.81	6496.24	6452.54	71.43	8.0	0.1125	0.94	0
0.7	6428.57	6496.24	6471.8	67.67	3.0	0.10000000000000002	1.2533333333333332	0
0.3	6428.57	6492.48	6460.52	63.91	2.0	0.2	0.0	0
0.5	6424.81	6428.57	6427.32	3.76	3.0	0.13333333333333333	0.0	0
0.2	6428.57	6428.57	6428.57	0.0	1.0	0.2	0.0	0
0.9	6424.81	6492.48	6460.06	67.67	4.0	0.15	0.94	0
3.8	6353.38	6428.57	6390.5	75.19	8.0	0.125	-15.9775	0
4.5	6353.38	6428.57	6383.56	75.19	18.0	0.16111111111111115	-1.4622222222222223	0
4.6	6357.14	6492.48	6384.21	135.34	15.0	0.0866666666666667	6.014666666666665	0
1.7	6353.38	6428.57	6384.02	75.19	10.0	0.16000000000000006	-1.128	0
2.3	6353.38	6428.57	6362.97	75.19	10.0	0.16000000000000006	-1.88	0
4.6	6353.38	8578.95	7700.1	2225.57	11.0	0.054545454545454536	-31.1009090909091	-1
0.3	6424.81	6424.81	6424.81	0.0	1.0	0.3	0.0	0
1.0	6424.81	6496.24	6465.63	71.43	7.0	0.21428571428571436	-1.0742857142857145	0
3.2	6428.57	6492.48	6462.92	63.91	11.0	0.10909090909090907	-1.7090909090909088	0
